ACCOUNT_ID,CUSTOMER_ID,BRANCH_ID,ACCOUNT_NO,ACCOUNT_KIND_CD,BALANCE,OPENED_DT,STATUS_CD,ENTRY_TS,UPDATE_TS
1,30,3,9229-235424,02,4375985.17,2022-07-26,A,2022-07-26 08:13:35,
2,87,2,8496-189079,02,322686.85,2021-04-24,A,2021-04-24 01:26:22,
3,83,2,3998-406378,01,3860447.57,2021-05-24,A,2021-05-24 08:51:16,
4,39,12,9831-258760,01,4498061.72,2023-04-03,A,2023-04-03 20:22:23,
5,76,5,4553-735194,01,4214699.45,2023-08-01,A,2023-08-01 02:12:36,
6,99,12,1803-159552,02,3794856.66,2021-11-29,A,2021-11-29 12:15:12,
7,96,11,7596-605536,02,4419755.8,2020-03-09,C,2020-03-09 07:56:00,
8,95,3,3296-440340,02,590547.09,2023-03-30,A,2023-03-30 16:58:18,
9,79,10,3026-171533,02,481041.0,2020-12-05,A,2020-12-05 09:41:18,
10,61,6,3440-356022,02,4354688.53,2021-06-28,A,2021-06-28 07:58:17,
11,2,9,1947-791942,02,4574024.06,2021-07-25,A,2021-07-25 05:10:09,
12,8,5,2411-366743,01,1841243.63,2022-02-20,C,2022-02-20 03:15:42,
13,30,12,1583-487354,01,2001246.56,2021-03-25,A,2021-03-25 22:40:22,
14,58,12,2617-127411,01,3455764.18,2020-05-11,A,2020-05-11 12:30:29,
15,73,6,8996-803457,01,3134640.24,2022-10-26,A,2022-10-26 20:12:06,
16,42,6,4832-300342,02,1829526.6,2020-02-23,A,2020-02-23 01:33:38,
17,18,6,3129-919644,01,3163085.31,2023-01-12,C,2023-01-12 20:30:24,
18,8,9,1851-428666,01,1022305.88,2023-06-07,A,2023-06-07 07:55:00,
19,100,9,4526-979194,01,4947761.81,2020-06-02,C,2020-06-02 07:11:35,
20,74,6,9522-663157,01,4663221.7,2021-01-09,A,2021-01-09 01:59:11,
21,4,8,1357-244640,01,529007.55,2023-11-10,A,2023-11-10 04:47:08,
22,39,9,5765-959270,01,3687088.65,2020-05-10,A,2020-05-10 14:44:01,
23,88,10,2911-264679,01,1676685.93,2023-08-31,A,2023-08-31 15:58:17,
24,24,11,2870-705055,02,1986081.54,2021-11-11,A,2021-11-11 06:59:27,
25,52,10,6259-301510,01,2227923.64,2023-01-11,A,2023-01-11 18:27:13,
26,2,6,2993-589104,01,4017560.7,2021-06-22,C,2021-06-22 06:18:33,
27,50,12,9895-327145,01,3970269.54,2023-04-06,A,2023-04-06 05:58:18,
28,92,8,6294-574289,02,4196118.96,2020-12-11,A,2020-12-11 22:53:30,
29,51,12,7289-898699,02,1666397.96,2020-02-13,A,2020-02-13 17:34:06,
