account_id,customer_id,account_no,account_kind,balance,opened_date,status,created_at,updated_at
1,29,2417-818744,01,1376274.6,2020-12-10,C,2020-12-10 10:24:47,
2,108,6680-311417,01,1907951.53,2021-07-10,A,2021-07-10 19:44:12,
3,53,8277-685829,01,1248008.86,2023-02-13,A,2023-02-13 06:40:40,
4,105,6404-123498,01,1225110.95,2024-01-16,A,2024-01-16 16:36:16,
5,80,1997-817076,01,974163.72,2021-05-12,A,2021-05-12 08:40:43,
6,170,4072-279049,01,2390097.42,2022-11-13,A,2022-11-13 04:35:06,
7,85,2922-259124,02,658806.66,2021-12-30,A,2021-12-30 08:31:30,
8,155,5595-272450,02,1160415.92,2023-10-06,F,2023-10-06 10:01:36,
9,184,8607-451984,01,323149.61,2022-07-07,C,2022-07-07 11:05:03,
10,31,2378-233673,01,990423.38,2021-06-30,A,2021-06-30 10:15:27,
11,140,4225-195913,01,1065109.46,2022-09-07,A,2022-09-07 14:32:22,
12,192,2125-137420,01,4123856.1,2020-10-24,F,2020-10-24 17:06:34,
13,119,4586-187101,01,2855210.12,2020-07-08,A,2020-07-08 17:47:54,
14,103,6977-835755,02,2201666.46,2021-03-13,C,2021-03-13 06:19:47,
15,76,8802-779375,01,1563317.48,2023-12-19,A,2023-12-19 20:36:17,
16,81,4627-979527,01,1121563.24,2022-10-16,A,2022-10-16 15:34:50,
17,192,6502-901665,01,2584121.12,2020-04-08,C,2020-04-08 14:26:47,
18,101,1294-842075,01,2576207.4,2020-06-12,C,2020-06-12 23:36:29,
19,139,6575-780490,01,1316060.75,2020-01-31,A,2020-01-31 10:51:11,
20,116,1034-685149,01,4238772.68,2020-10-11,C,2020-10-11 09:33:22,
21,55,6705-544545,01,3216948.76,2023-10-10,A,2023-10-10 19:48:18,
22,135,1092-400704,02,4743824.76,2020-11-07,A,2020-11-07 23:40:41,
23,88,3598-737911,02,3363618.96,2020-05-14,A,2020-05-14 06:24:02,
24,36,7779-746360,02,3880109.54,2021-02-11,A,2021-02-11 04:02:12,
25,69,4401-393038,01,1607178.24,2021-10-11,A,2021-10-11 01:42:46,
26,105,2615-780692,01,4781653.84,2023-07-07,A,2023-07-07 11:17:28,
27,112,5545-313423,01,2402.94,2023-08-21,A,2023-08-21 16:09:32,
28,100,5789-206234,01,2021240.3,2023-04-11,C,2023-04-11 20:16:34,
29,41,2743-607168,01,2594728.64,2021-12-02,A,2021-12-02 16:52:23,
30,190,5694-227794,01,1713545.19,2020-08-22,C,2020-08-22 11:13:23,
31,106,2829-424305,01,141087.22,2022-04-23,F,2022-04-23 02:32:03,
32,195,8513-507326,01,3158493.24,2022-08-17,A,2022-08-17 09:00:08,
33,68,9501-333204,02,3074224.88,2021-04-28,A,2021-04-28 04:51:22,
34,5,6394-537850,01,125966.2,2022-06-13,F,2022-06-13 03:10:05,
35,41,9944-528416,02,3171459.73,2022-04-03,A,2022-04-03 20:57:47,
36,186,2462-545436,02,1881661.53,2020-09-19,A,2020-09-19 10:12:26,
37,66,8590-955954,01,2194377.5,2020-07-22,A,2020-07-22 20:23:00,
38,62,7992-952285,01,3560113.78,2023-08-28,A,2023-08-28 14:05:47,
39,147,1681-298810,01,207934.02,2022-10-09,A,2022-10-09 22:06:50,
40,82,5364-391219,01,4142016.12,2021-03-09,A,2021-03-09 03:21:49,
41,48,4188-119274,01,3875887.83,2023-12-28,A,2023-12-28 13:18:41,
42,84,9026-706562,02,1704943.29,2020-01-11,A,2020-01-11 15:16:28,
43,81,8590-978865,01,796890.39,2022-07-15,A,2022-07-15 18:53:39,
44,18,5982-680625,01,2419013.46,2021-03-24,A,2021-03-24 17:14:11,
45,144,7258-657409,02,2962064.45,2020-04-16,A,2020-04-16 18:10:55,
46,105,5065-332130,01,4170809.7,2020-10-10,A,2020-10-10 15:36:32,
47,26,9752-861742,02,776239.26,2020-06-30,A,2020-06-30 20:19:21,
48,72,2237-685698,01,1325153.04,2022-11-26,A,2022-11-26 08:17:38,
49,70,9988-866174,01,1538644.55,2020-04-19,A,2020-04-19 14:47:31,
50,96,7135-950253,01,482592.05,2022-08-06,A,2022-08-06 09:53:38,
51,11,2865-665221,02,931994.84,2023-10-24,A,2023-10-24 08:16:04,
52,141,2397-746589,01,4683214.66,2023-04-06,A,2023-04-06 07:54:45,
53,115,1032-531464,02,4366413.57,2021-08-25,A,2021-08-25 06:00:57,
54,171,3722-608666,01,1167852.46,2022-04-27,F,2022-04-27 00:17:00,
55,54,7115-342256,02,4629345.54,2020-10-06,F,2020-10-06 21:21:20,
56,58,3403-540962,01,4586143.36,2020-01-19,C,2020-01-19 02:33:05,
57,40,7389-658237,02,3955892.08,2022-01-27,A,2022-01-27 06:12:00,
58,131,3984-669037,02,731851.69,2022-06-20,A,2022-06-20 17:27:36,
59,189,1773-452516,01,764847.11,2023-03-26,A,2023-03-26 21:11:02,
60,43,7799-477248,01,2526564.66,2020-10-12,A,2020-10-12 21:36:56,
