account_id,customer_id,account_no,account_kind,balance,opened_date,status,created_at,updated_at
1,39,6003-220761,01,4329723.23,2023-11-23,C,2023-11-23 13:26:17,
2,81,2018-928744,02,3333116.75,2023-07-17,A,2023-07-17 15:08:17,
3,2,9898-844421,01,4810800.79,2021-11-15,A,2021-11-15 07:09:21,
4,32,5478-168975,02,4957625.09,2020-11-20,A,2020-11-20 22:37:31,
5,49,5212-901263,01,2405886.33,2020-10-03,A,2020-10-03 21:49:43,
6,99,2512-533720,01,3765108.13,2022-03-03,A,2022-03-03 07:33:48,
7,14,1402-198441,01,630547.13,2023-06-09,A,2023-06-09 17:52:22,
8,8,6242-589406,01,911578.17,2022-09-01,C,2022-09-01 09:30:44,
9,28,2464-920064,01,4749897.9,2022-07-14,A,2022-07-14 08:35:18,
10,39,7281-834736,01,672238.79,2021-10-13,C,2021-10-13 03:58:04,
11,37,3158-170234,02,466938.98,2021-05-15,A,2021-05-15 20:08:04,
12,60,8185-457492,01,3106562.03,2021-01-15,A,2021-01-15 10:48:36,
13,22,5073-334209,02,4923877.17,2023-04-22,C,2023-04-22 12:41:45,
14,51,9206-818598,01,240177.0,2023-11-12,A,2023-11-12 12:14:43,
15,88,9583-840019,02,4012763.25,2023-04-19,C,2023-04-19 06:36:40,
16,84,6695-887284,01,600004.09,2021-12-09,C,2021-12-09 08:07:40,
17,41,1009-678245,01,556773.83,2023-11-21,A,2023-11-21 07:01:37,
18,25,4935-191933,01,2213126.84,2023-10-04,A,2023-10-04 13:32:40,
19,49,1209-701054,02,2286423.13,2020-07-01,A,2020-07-01 23:55:22,
20,99,2579-875510,01,1398218.44,2022-12-26,A,2022-12-26 10:46:52,
21,57,5298-898981,02,2284275.37,2022-05-30,A,2022-05-30 16:34:21,
22,30,9039-727548,02,2985087.35,2020-07-19,A,2020-07-19 18:26:11,
23,46,3221-669766,02,1681780.17,2021-03-06,A,2021-03-06 05:05:32,
24,96,4871-489007,01,965479.93,2023-02-25,C,2023-02-25 12:42:51,
25,31,4625-115913,01,3516553.08,2020-02-04,C,2020-02-04 09:20:36,
26,73,4442-837954,02,1833502.32,2022-04-19,C,2022-04-19 20:43:19,
27,14,5254-818685,02,1316929.21,2021-09-05,A,2021-09-05 08:38:40,
28,95,9863-745809,01,4265271.9,2022-04-04,A,2022-04-04 14:27:28,
29,73,4937-892659,01,3683615.16,2022-07-29,A,2022-07-29 04:37:32,
30,90,2079-123337,02,1410933.8,2022-12-04,A,2022-12-04 07:05:24,
31,32,6498-225237,01,3529263.56,2022-05-14,A,2022-05-14 15:34:01,
