account_id,customer_id,branch_id,account_no,account_kind,balance,opened_date,status,created_at,updated_at
1,45,19,2770-262276,01,2506944.18,2021-05-06,C,2021-05-06 12:18:48,
2,9,16,3146-919120,02,3212372.18,2022-11-21,C,2022-11-21 19:48:56,
3,9,5,1129-828682,02,4390008.94,2020-04-18,F,2020-04-18 00:16:26,
4,87,3,1477-327491,02,832693.22,2022-08-29,A,2022-08-29 13:49:39,
5,161,11,2673-607780,01,4753911.27,2021-03-24,A,2021-03-24 18:33:49,
6,22,7,4907-653161,02,4434464.04,2020-01-17,A,2020-01-17 09:16:36,
7,178,2,4779-125551,02,4781610.8,2021-05-10,C,2021-05-10 03:38:33,
8,90,20,1956-523231,02,3091016.71,2022-04-15,A,2022-04-15 19:31:02,
9,109,1,2516-219509,02,3344557.06,2021-02-03,F,2021-02-03 20:03:30,
10,72,1,8548-969638,01,1285246.05,2020-08-10,A,2020-08-10 14:49:43,
11,48,16,1951-156208,01,4325580.33,2023-09-13,A,2023-09-13 13:50:57,
12,4,11,9735-384175,02,3007501.71,2022-12-25,A,2022-12-25 20:51:14,
13,57,15,3758-959354,01,2668302.86,2021-11-18,C,2021-11-18 02:18:59,
14,69,8,9733-378241,01,801553.92,2023-06-01,A,2023-06-01 19:54:51,
15,174,7,3411-848731,02,2086210.87,2023-03-29,A,2023-03-29 04:56:36,
16,70,12,8340-297343,01,4672683.98,2021-08-31,A,2021-08-31 23:36:37,
17,184,8,3574-117975,01,4669669.81,2022-12-02,A,2022-12-02 08:33:06,
18,153,5,6995-875772,02,1897382.36,2021-10-10,A,2021-10-10 17:54:42,
19,35,15,1646-610936,02,4210997.46,2022-08-25,A,2022-08-25 02:10:48,
20,1,5,6798-952570,01,2504741.93,2021-06-24,C,2021-06-24 22:56:59,
21,120,2,4404-656782,02,3290987.2,2022-02-04,C,2022-02-04 20:09:03,
22,159,18,3855-688306,01,444798.76,2020-09-17,A,2020-09-17 04:14:17,
23,66,4,8018-187818,01,2010340.23,2020-06-10,A,2020-06-10 08:12:54,
24,174,6,1424-253502,01,4700041.09,2021-03-25,F,2021-03-25 12:31:51,
25,110,7,5702-624996,02,2175102.67,2023-08-23,A,2023-08-23 19:18:09,
26,84,6,4205-794679,02,3080958.47,2021-09-25,A,2021-09-25 17:41:15,
27,24,9,2849-622811,01,1017920.63,2022-02-19,A,2022-02-19 13:47:38,
28,120,1,1961-299183,01,3133007.32,2023-05-16,A,2023-05-16 19:45:26,
29,84,3,1277-742975,01,1330278.55,2021-06-16,A,2021-06-16 09:34:17,
30,121,5,4511-538215,01,582900.56,2020-01-12,A,2020-01-12 06:13:02,
31,48,10,4326-873399,01,3829083.02,2023-06-13,A,2023-06-13 02:53:45,
32,127,5,9648-874078,01,1409738.38,2020-10-09,C,2020-10-09 19:56:57,
33,36,9,3948-420233,01,2657781.74,2021-05-11,C,2021-05-11 02:03:23,
34,52,17,2803-492621,01,2796257.62,2022-05-31,A,2022-05-31 23:53:30,
35,132,18,6678-437861,01,2522612.36,2020-07-27,A,2020-07-27 01:34:07,
36,155,19,4934-542963,01,1601964.96,2020-05-24,A,2020-05-24 18:31:41,
37,56,7,1161-273647,01,3101309.26,2023-03-30,A,2023-03-30 16:04:47,
38,56,3,3312-922071,02,1604405.86,2022-02-19,A,2022-02-19 11:56:24,
39,123,9,8915-687456,01,3483585.07,2022-08-15,A,2022-08-15 06:12:49,
40,52,5,6569-641687,02,1212621.69,2020-06-22,A,2020-06-22 08:16:53,
41,126,17,3170-454376,01,1977670.65,2023-01-10,A,2023-01-10 16:48:05,
42,96,12,9786-476937,02,1521433.97,2020-01-26,A,2020-01-26 11:25:50,
43,8,13,7926-627287,01,2436377.86,2020-03-30,C,2020-03-30 19:55:23,
44,71,5,9652-236163,02,1831099.25,2020-06-19,C,2020-06-19 16:17:53,
45,168,11,6349-843878,01,3506785.95,2022-07-07,A,2022-07-07 18:19:45,
46,139,8,1100-255182,01,1425109.86,2022-11-23,C,2022-11-23 04:57:50,
47,35,18,5560-850660,01,152966.04,2021-03-04,C,2021-03-04 11:00:24,
48,19,7,2436-861371,01,3643456.09,2020-02-11,A,2020-02-11 21:39:29,
49,1,5,6463-702463,01,4247607.57,2022-05-18,A,2022-05-18 19:22:46,
50,185,3,5069-294005,01,4522606.21,2021-03-06,A,2021-03-06 00:54:33,
51,176,9,1408-973012,02,1735708.08,2022-07-24,A,2022-07-24 09:23:02,
52,2,10,6498-420709,01,1598622.0,2022-07-06,F,2022-07-06 09:16:42,
53,178,10,9664-232595,01,4427400.18,2024-01-24,C,2024-01-24 13:30:10,
54,6,2,2910-338399,02,1141924.93,2021-04-26,A,2021-04-26 19:15:25,
55,1,7,9926-892913,01,4907344.45,2022-08-04,A,2022-08-04 21:40:37,
